Tnumber:,,,,,,200,200,200,200,200,200,200,200,200,200,200,200,200,200,300,300,300,300,310,310,310,320,320,320,320,330,330,330,330,330,330,330,340,340,350,350,350,550,550,560,560,560,
191, 1,383,1, 1,1,-389.955,-461.793,-461.959,-463.196,-465.807,-464.119,-464.394,-464.400,-464.732,-463.917,-464.489,-463.476,0.364,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.678,PASS,1231.065,2.449,1922.519,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
192, 0,385,0, 1,1,-388.068,-457.413,-460.268,-459.860,-460.495,-457.764,-459.331,-460.198,-460.959,-459.881,-461.021,-460.555,0.238,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.696,PASS,1229.341,2.482,1936.395,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
192, 1,385,1, 1,1,-400.170,-476.621,-475.798,-474.631,-475.427,-473.297,-473.308,-474.818,-476.088,-474.570,-474.785,-473.063,0.156,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.597,PASS,1234.949,2.442,1913.140,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
193, 0,387,0, 1,1,-398.624,-469.194,-470.855,-472.246,-472.146,-471.083,-472.946,-471.766,-473.098,-470.493,-473.482,-471.693,0.001,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.916,PASS,1230.092,2.477,1915.392,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
193, 1,387,1, 1,1,-393.647,-466.127,-465.111,-465.846,-466.007,-465.886,-467.287,-466.119,-466.753,-467.754,-467.202,-465.526,-0.010,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.648,PASS,1233.922,2.490,1920.099,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
194, 0,389,0, 1,1,-385.337,-456.955,-458.126,-456.121,-456.328,-455.557,-457.693,-456.982,-458.685,-457.854,-457.716,-458.555,0.225,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.631,PASS,1229.366,2.462,1926.083,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
194, 1,389,1, 1,1,-401.502,-477.351,-476.132,-476.261,-477.514,-475.789,-476.812,-477.642,-477.938,-477.730,-477.498,-475.652,0.111,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.613,PASS,1236.465,2.484,1921.989,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
195, 0,391,0, 1,1,-395.291,-465.283,-466.685,-467.555,-467.260,-466.240,-467.163,-467.566,-469.767,-468.261,-467.988,-467.088,0.008,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.566,PASS,1229.165,2.465,1917.197,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
195, 1,391,1, 1,1,-388.933,-459.030,-458.903,-460.589,-460.970,-459.726,-460.318,-461.562,-462.133,-460.771,-461.503,-458.937,0.424,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.609,PASS,1231.428,2.448,1897.343,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
196, 0,393,0, 1,1,-386.759,-455.706,-457.072,-456.355,-455.823,-456.570,-456.877,-456.437,-457.317,-457.325,-457.811,-456.470,0.335,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.718,PASS,1224.717,2.467,1892.967,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
196, 1,393,1, 1,1,-400.719,-477.318,-476.089,-476.471,-476.859,-476.353,-475.930,-478.252,-477.223,-478.269,-479.434,-476.157,0.260,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.534,PASS,1234.273,2.477,1929.089,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
197, 0,395,0, 1,1,-391.882,-463.499,-466.938,-464.441,-465.143,-465.452,-466.184,-466.028,-465.696,-465.180,-465.489,-464.792,0.303,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.609,PASS,1229.842,2.486,1932.830,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
197, 1,395,1, 1,1,-387.730,-459.646,-458.936,-461.413,-461.739,-460.991,-459.793,-461.728,-461.985,-460.771,-461.325,-458.951,0.131,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.611,PASS,1228.597,2.465,1948.721,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
198, 0,397,0, 1,1,-386.521,-455.639,-458.317,-455.145,-457.125,-457.172,-457.474,-458.358,-458.528,-455.851,-458.550,-456.866,0.213,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.643,PASS,1229.077,2.495,1910.333,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
198, 1,397,1, 1,1,-401.144,-476.191,-475.148,-475.132,-475.031,-476.329,-476.121,-477.694,-477.175,-477.028,-476.678,-475.218,-0.051,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.588,PASS,1229.724,2.452,1911.867,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
199, 1,399,1, 1,1,-393.943,-464.838,-464.390,-465.241,-467.702,-465.895,-465.919,-467.238,-466.224,-466.781,-466.804,-464.963,-0.069,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.596,PASS,1231.692,2.470,1919.760,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
200, 0,401,0, 1,1,-392.489,-460.876,-462.687,-463.603,-463.651,-461.446,-464.202,-464.088,-465.067,-464.441,-464.407,-463.766,0.065,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.674,PASS,1234.115,2.493,1934.592,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
200, 1,401,1, 1,1,-397.085,-475.218,-473.993,-471.166,-470.290,-471.840,-472.708,-473.271,-473.604,-474.389,-474.665,-473.178,0.190,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.625,PASS,1230.100,2.447,1930.729,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
201, 0,403,0, 1,1,-387.165,-459.240,-462.477,-458.860,-458.974,-459.010,-460.520,-460.317,-460.082,-458.641,-460.572,-458.169,-0.037,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.652,PASS,1231.684,2.486,1893.921,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
201, 1,403,1, 1,1,-392.052,-461.970,-461.243,-464.230,-466.127,-463.894,-463.293,-464.300,-464.660,-465.535,-465.615,-463.113,0.180,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.665,PASS,1227.118,2.430,1907.237,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
202, 0,405,0, 1,1,-389.968,-456.235,-457.463,-459.765,-459.437,-458.623,-460.005,-460.599,-460.901,-460.735,-460.467,-460.574,0.327,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.633,PASS,1232.599,2.490,1910.259,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
202, 1,405,1, 1,1,-400.389,-470.756,-470.182,-471.933,-473.136,-472.967,-473.995,-473.128,-473.824,-474.866,-473.289,-472.153,0.377,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.761,PASS,1232.255,2.440,1911.418,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
203, 0,407,0, 1,1,-393.869,-462.851,-466.747,-466.479,-466.130,-465.992,-466.327,-466.391,-467.922,-465.266,-466.925,-466.911,0.226,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.670,PASS,1227.599,2.487,1901.851,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
203, 1,407,1, 1,1,-391.946,-461.502,-460.326,-463.515,-464.040,-464.444,-463.045,-464.833,-464.231,-463.616,-464.724,-460.434,0.441,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.635,PASS,1229.424,2.468,1919.760,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
204, 0,409,0, 1,1,-391.300,-458.405,-459.724,-461.565,-460.581,-460.892,-462.101,-462.573,-462.898,-462.013,-463.696,-462.487,0.081,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.620,PASS,1229.591,2.501,1930.500,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
204, 1,409,1, 1,1,-406.029,-479.355,-478.802,-479.393,-480.622,-480.631,-480.020,-481.337,-482.449,-482.484,-481.117,-480.877,0.258,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.559,PASS,1232.418,2.476,1915.354,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
205, 0,411,0, 1,1,-391.243,-462.398,-464.052,-463.093,-462.230,-463.203,-464.317,-464.694,-465.806,-463.096,-464.483,-463.986,0.381,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.695,PASS,1235.894,2.480,1921.989,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
205, 1,411,1, 1,1,-390.905,-460.605,-459.939,-463.921,-464.761,-463.059,-462.129,-464.057,-463.869,-463.406,-465.112,-461.397,-0.076,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.629,PASS,1232.556,2.457,1937.240,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
206, 0,413,0, 1,1,-390.469,-458.000,-459.348,-461.036,-461.463,-460.930,-460.740,-462.425,-462.632,-461.884,-462.246,-462.716,0.141,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.639,PASS,1231.371,2.463,1938.778,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
206, 1,413,1, 1,1,-399.406,-477.232,-476.443,-474.440,-475.857,-475.861,-474.367,-476.809,-477.113,-476.928,-476.851,-475.371,0.273,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.593,PASS,1232.493,2.404,1915.617,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
207, 0,415,0, 1,1,-391.649,-462.274,-464.147,-463.784,-463.298,-463.346,-464.742,-462.864,-463.742,-464.512,-463.901,-463.241,-0.008,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.635,PASS,1234.428,2.452,1897.823,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
207, 1,415,1, 1,1,-389.845,-459.536,-459.318,-461.547,-463.238,-462.218,-461.524,-462.862,-461.928,-462.948,-461.210,-460.363,0.412,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.653,PASS,1234.899,2.495,1929.698,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
208, 0,417,0, 1,1,-390.880,-459.369,-463.894,-461.593,-461.100,-461.813,-461.934,-462.955,-463.060,-462.214,-462.985,-461.872,0.260,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.647,PASS,1231.784,2.500,1905.190,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
208, 1,417,1, 1,1,-402.939,-476.936,-475.827,-476.490,-476.688,-476.634,-477.708,-478.413,-479.883,-479.854,-479.017,-476.820,0.095,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.575,PASS,1230.150,2.472,1929.622,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
209, 0,419,0, 1,1,-393.993,-464.949,-465.626,-466.227,-465.534,-466.121,-467.010,-466.735,-467.631,-466.568,-466.476,-466.114,0.061,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.590,PASS,1226.596,2.450,1908.579,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
209, 1,419,1, 1,1,-389.458,-460.691,-460.073,-460.570,-460.412,-461.598,-461.491,-462.662,-462.743,-461.831,-462.447,-460.949,0.175,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.640,PASS,1230.752,2.467,1931.454,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
210, 0,421,0, 1,1,-385.084,-456.273,-457.101,-455.083,-455.518,-455.424,-455.697,-457.030,-455.682,-455.579,-457.954,-454.938,-0.152,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.702,PASS,1231.333,2.444,1895.649,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
210, 1,421,1, 1,1,-401.201,-474.163,-473.453,-474.803,-473.494,-473.492,-472.312,-475.818,-476.556,-476.040,-474.531,-473.940,0.094,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.585,PASS,1227.394,2.460,1926.349,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
211, 0,423,0, 1,1,-394.594,-464.458,-466.866,-468.513,-467.269,-468.141,-467.870,-467.217,-468.909,-467.489,-469.080,-465.904,-0.145,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.655,PASS,1233.964,2.475,1924.526,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
211, 1,423,1, 1,1,-390.805,-459.617,-458.960,-462.381,-463.286,-460.332,-461.128,-462.690,-462.734,-463.540,-461.766,-460.868,0.233,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.557,PASS,1234.849,2.438,1909.176,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
212, 0,425,0, 1,1,-391.472,-458.558,-496.765,-460.827,-461.610,-461.274,-462.392,-462.214,-464.176,-461.322,-462.270,-462.788,0.273,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.635,PASS,1231.333,2.477,1924.792,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
212, 1,425,1, 1,1,-403.871,-479.928,-478.720,-479.588,-480.082,-478.310,-479.639,-480.351,-481.805,-480.637,-479.525,-478.584,0.109,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.585,PASS,1227.594,2.425,1922.140,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
213, 0,427,0, 1,1,-389.925,-461.529,-466.117,-461.503,-463.474,-463.877,-461.891,-460.418,-462.508,-461.851,-463.577,-461.395,0.359,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.620,PASS,1225.155,2.459,1917.498,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
213, 1,427,1, 1,1,-391.455,-459.240,-459.376,-460.460,-462.255,-461.903,-461.729,-461.757,-463.807,-462.633,-462.078,-460.091,0.206,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.623,PASS,1233.934,2.466,1919.307,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
214, 0,429,0, 1,1,-390.130,-459.502,-462.845,-459.369,-459.789,-458.748,-461.991,-460.294,-463.080,-460.797,-461.121,-461.337,0.395,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.681,PASS,1227.260,2.467,1920.326,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
214, 1,429,1, 1,1,-405.279,-479.484,-478.926,-480.237,-480.708,-482.111,-478.891,-480.794,-482.077,-481.224,-481.433,-479.256,0.078,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.567,PASS,1228.697,2.464,1917.460,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
215, 0,431,0, 1,1,-387.996,-462.269,-463.126,-460.531,-463.575,-461.919,-462.454,-461.436,-463.942,-462.815,-463.248,-462.988,0.211,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.585,PASS,1228.802,2.499,1931.110,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
215, 1,431,1, 1,1,-390.380,-458.572,-458.530,-461.752,-462.780,-461.812,-461.247,-463.243,-462.810,-463.420,-463.003,-460.281,0.092,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.602,PASS,1231.930,2.477,1924.792,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
216, 0,433,0, 1,1,-390.464,-459.932,-462.420,-460.979,-460.934,-459.249,-461.762,-461.283,-460.954,-461.584,-463.834,-461.877,0.385,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.693,PASS,1231.997,2.467,1922.973,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
216, 1,433,1, 1,1,-401.822,-477.150,-476.280,-474.998,-477.079,-474.018,-475.320,-475.990,-477.647,-477.057,-475.628,-475.886,0.043,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.610,PASS,1230.739,2.426,1923.503,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
217, 0,435,0, 1,1,-394.165,-464.086,-464.996,-467.732,-466.158,-465.572,-468.338,-465.813,-468.356,-466.749,-467.802,-467.498,0.148,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.601,PASS,1233.413,2.477,1910.408,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
217, 1,435,1, 1,1,-392.811,-461.636,-461.023,-464.836,-465.525,-464.520,-463.474,-464.804,-464.646,-464.389,-465.308,-462.131,0.211,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.584,PASS,1232.093,2.453,1915.955,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
218, 0,437,0, 1,1,-388.693,-458.339,-458.870,-459.122,-458.669,-460.309,-458.844,-458.946,-460.572,-460.125,-460.424,-460.645,0.160,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.592,PASS,1233.639,2.512,1916.219,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
218, 1,437,1, 1,1,-404.582,-479.470,-478.525,-477.625,-480.741,-480.015,-479.425,-480.566,-482.186,-481.281,-479.458,-479.576,0.071,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.612,PASS,1232.794,2.471,1923.238,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
219, 0,439,0, 1,1,-391.458,-462.789,-464.386,-464.174,-465.853,-465.238,-465.382,-464.948,-465.720,-463.406,-465.876,-466.114,0.202,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.655,PASS,1228.514,2.492,1918.515,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
219, 1,439,1, 1,1,-393.264,-461.851,-461.673,-463.835,-464.508,-464.229,-464.994,-464.085,-464.465,-465.349,-463.631,-463.867,0.224,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.614,PASS,1226.617,2.427,1921.233,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
220, 0,441,0, 1,1,-393.153,-461.196,-462.062,-464.384,-464.156,-463.962,-464.312,-463.882,-465.177,-465.085,-465.814,-464.740,0.106,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.614,PASS,1233.451,2.474,1907.870,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
220, 1,441,1, 1,1,-397.285,-469.529,-468.377,-470.560,-471.035,-469.137,-470.677,-472.023,-471.611,-471.487,-471.401,-468.987,0.458,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.597,PASS,1234.260,2.457,1919.986,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
221, 0,443,0, 1,1,-393.587,-466.647,-467.343,-467.127,-468.108,-468.399,-467.149,-467.910,-467.422,-466.945,-468.365,-469.059,0.277,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.669,PASS,1233.062,2.456,1901.444,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
221, 1,443,1, 1,1,-396.020,-466.465,-465.722,-468.906,-467.678,-467.390,-467.836,-468.652,-469.313,-470.413,-469.162,-466.718,0.173,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.690,PASS,1233.471,2.471,1903.260,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
222, 0,445,0, 1,1,-392.164,-459.693,-461.757,-462.517,-463.045,-462.783,-464.427,-464.016,-463.990,-464.202,-464.645,-464.143,0.247,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.620,PASS,1231.759,2.485,1920.552,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
222, 1,445,1, 1,1,-407.037,-481.937,-481.079,-481.614,-482.412,-481.371,-482.628,-483.604,-485.495,-483.081,-482.713,-481.473,0.193,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.514,PASS,1232.343,2.458,1922.897,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
223, 0,447,0, 1,1,-394.762,-465.412,-466.695,-468.632,-467.851,-467.391,-469.059,-467.528,-470.215,-468.881,-468.065,-468.686,0.190,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.681,PASS,1229.040,2.493,1936.587,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
223, 1,447,1, 1,1,-391.178,-461.884,-461.654,-463.911,-465.511,-464.372,-463.850,-465.357,-464.970,-465.057,-464.345,-463.829,0.354,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.646,PASS,1229.975,2.509,1958.138,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
224, 0,449,0, 1,1,-385.876,-456.393,-456.981,-455.121,-456.819,-457.482,-458.133,-455.926,-458.208,-457.311,-457.930,-456.928,0.184,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.653,PASS,1226.960,2.457,1883.002,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
224, 1,449,1, 1,1,-399.644,-476.807,-475.698,-472.443,-474.845,-475.823,-472.403,-474.390,-476.436,-476.546,-476.995,-473.788,0.189,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.580,PASS,1232.305,2.452,1913.928,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
225, 0,451,0, 1,1,-391.176,-464.158,-464.309,-464.898,-466.363,-466.322,-464.904,-465.970,-466.897,-465.896,-466.276,-466.067,0.057,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.563,PASS,1236.345,2.514,1934.285,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
225, 1,451,1, 1,1,-385.991,-458.806,-458.249,-458.534,-456.626,-459.067,-458.139,-458.824,-459.949,-460.251,-459.609,-457.197,-0.282,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.757,PASS,1232.957,2.423,1898.523,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
226, 0,453,0, 1,1,-388.798,-458.515,-459.233,-460.284,-461.005,-461.828,-461.093,-459.061,-461.097,-461.579,-462.098,-461.542,0.167,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.607,PASS,1231.220,2.489,1911.418,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
226, 1,453,1, 1,1,-405.045,-480.701,-480.134,-479.779,-479.113,-479.433,-478.967,-481.347,-481.571,-482.198,-481.615,-480.138,0.221,1.000,PASS,PASS,PASS,PASS,PASS,PASS,0.614,PASS,1230.589,2.459,1944.879,PASS,PASS,PASS,0.000,0.000,100.000,100.000,PASS,PASS,PASS,PASS,PASS,PASS,PASS,5.000,5.000,PASS,
